,Fetch_Time,Symbol,Expiry_Date,CALLS_OI,CALLS_Chng_in_OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net_Chng,CALLS_Bid_Qty,CALLS_Bid_Price,CALLS_Ask_Price,CALLS_Ask_Qty,Strike_Price,PUTS_Bid_Qty,PUTS_Bid_Price,PUTS_Ask_Price,PUTS_Ask_Qty,PUTS_Net_Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng_in_OI,PUTS_OI
81,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,14769,5952,22221,18.11,0.45,-0.3,33350,0.45,0.5,40825,25700,1800,1077.1,1128.0,1800,0.0,0.0,0.0,0,0,0
82,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,10309,5048,18855,18.63,0.5,-0.30000000000000004,21050,0.45,0.5,68125,25750,1800,1127.0,1178.0,1800,0.0,0.0,0.0,0,0,0
83,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,42894,14049,53290,18.86,0.4,-0.25,288200,0.35,0.4,88850,25800,50,1187.6,1226.8,50,-30.799999999999955,1200.0,24.62,7,3,38
84,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,11005,0,16815,19.81,0.4,-0.15000000000000002,7825,0.4,0.45,56075,25850,1800,1226.85,1278.0,1800,0.0,0.0,0.0,0,0,0
85,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,25112,1209,23657,20.24,0.35,-0.15000000000000002,208975,0.35,0.4,109125,25900,1800,1276.75,1328.0,1800,0.0,0.0,0.0,0,0,0
86,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,12394,169,12678,20.92,0.35,-0.20000000000000007,76500,0.35,0.4,109275,25950,1800,1326.65,1378.0,1800,0.0,0.0,0.0,0,0,0
87,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,123776,-15457,171742,21.6,0.4,-0.09999999999999998,2185700,0.35,0.4,413550,26000,1150,1376.65,1410.0,100,-47.15000000000009,1430.0,42.62,1,0,51
88,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,18600,899,41733,22.28,0.35,-0.10000000000000003,206300,0.35,0.4,87775,26050,1800,1426.55,1478.05,1800,0.0,0.0,0.0,0,0,0
89,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,10229,-2915,15409,22.95,0.35,-0.10000000000000003,22400,0.35,0.4,84950,26100,525,1404.85,1574.45,525,0.0,0.0,0.0,0,0,0
90,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,16402,-3010,23952,23.92,0.35,-0.10000000000000003,190350,0.35,0.4,91000,26150,525,1480.75,1618.9,525,0.0,0.0,0.0,0,0,0
91,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,105652,-3317,108879,24.29,0.3,-0.10000000000000003,1323900,0.3,0.35,289025,26200,175,1579.6,1671.2,525,-76.45000000000005,1614.6,41.33,2,-1,0
92,15-Jul-2024 11:36:46,NIFTY,18-Jul-2024,5597,0,24514,25.55,0.4,-11.1,27650,0.4,0.45,36125,26250,525,1585.5,1720.6,525,0.0,0.0,0.0,0,0,0
